2026-08-18T01:36:09Z model=Qwen3-4B row=107 status=invalid_label latency=26.218s pt=202 ct=2205 gpu_power=145.1W vram=1603MiB err=''
2026-08-18T01:36:37Z model=Qwen3-4B row=108 status=ok latency=28.479s pt=156 ct=2334 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:37:10Z model=Qwen3-4B row=109 status=invalid_label latency=32.712s pt=179 ct=2553 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:37:56Z model=Qwen3-4B row=110 status=empty latency=45.593s pt=164 ct=4096 gpu_power=140.6W vram=1603MiB err=''
2026-08-18T01:38:29Z model=Qwen3-4B row=111 status=ok latency=32.989s pt=155 ct=3539 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:38:55Z model=Qwen3-4B row=112 status=empty latency=25.895s pt=157 ct=1605 gpu_power=144.9W vram=1603MiB err=''
2026-08-18T01:39:09Z model=Qwen3-4B row=113 status=ok latency=13.828s pt=274 ct=1377 gpu_power=143.9W vram=1603MiB err=''
2026-08-18T01:39:39Z model=Qwen3-4B row=114 status=invalid_label latency=30.114s pt=152 ct=2430 gpu_power=143.8W vram=1603MiB err=''
2026-08-18T01:40:02Z model=Qwen3-4B row=115 status=invalid_label latency=22.628s pt=159 ct=1686 gpu_power=144.9W vram=1603MiB err=''
2026-08-18T01:40:24Z model=Qwen3-4B row=116 status=ok latency=22.504s pt=154 ct=2120 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:41:04Z model=Qwen3-4B row=117 status=ok latency=39.968s pt=186 ct=3446 gpu_power=144.9W vram=1603MiB err=''
2026-08-18T01:41:50Z model=Qwen3-4B row=118 status=invalid_label latency=45.294s pt=194 ct=4096 gpu_power=143.2W vram=1603MiB err=''
2026-08-18T01:42:17Z model=Qwen3-4B row=119 status=invalid_label latency=27.790s pt=167 ct=2113 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:42:41Z model=Qwen3-4B row=120 status=ok latency=23.487s pt=169 ct=2304 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:43:17Z model=Qwen3-4B row=121 status=invalid_label latency=35.749s pt=188 ct=3059 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:43:58Z model=Qwen3-4B row=122 status=invalid_label latency=41.048s pt=173 ct=3623 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:44:26Z model=Qwen3-4B row=123 status=invalid_label latency=27.791s pt=202 ct=2960 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:45:01Z model=Qwen3-4B row=124 status=invalid_label latency=34.848s pt=186 ct=2820 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:45:29Z model=Qwen3-4B row=125 status=invalid_label latency=28.419s pt=179 ct=2265 gpu_power=144.0W vram=1603MiB err=''
2026-08-18T01:46:02Z model=Qwen3-4B row=126 status=invalid_label latency=33.132s pt=166 ct=3080 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:46:50Z model=Qwen3-4B row=127 status=empty latency=47.284s pt=168 ct=4096 gpu_power=145.2W vram=1603MiB err=''
2026-08-18T01:47:06Z model=Qwen3-4B row=128 status=ok latency=16.199s pt=187 ct=1337 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:47:40Z model=Qwen3-4B row=129 status=invalid_label latency=33.856s pt=169 ct=2765 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:48:04Z model=Qwen3-4B row=130 status=invalid_label latency=23.575s pt=162 ct=2412 gpu_power=143.8W vram=1603MiB err=''
2026-08-18T01:48:45Z model=Qwen3-4B row=131 status=empty latency=41.152s pt=163 ct=3532 gpu_power=143.8W vram=1603MiB err=''
2026-08-18T01:49:23Z model=Qwen3-4B row=132 status=invalid_label latency=37.660s pt=155 ct=3243 gpu_power=145.0W vram=1603MiB err=''
2026-08-18T01:49:57Z model=Qwen3-4B row=133 status=ok latency=33.979s pt=175 ct=2923 gpu_power=144.8W vram=1603MiB err=''
2026-08-18T01:50:30Z model=Qwen3-4B row=134 status=invalid_label latency=33.353s pt=193 ct=3518 gpu_power=145.0W vram=1603MiB err=''
